,,,,,,,,OS:Rendering:Color,OS:Rendering:Color,OS:Rendering:Color,OS:SpaceType,OS:Schedule,,,OS:People:Definition,,,,,OS:Schedule,OS:Schedule,OS:Schedule,OS:People:Definition,,,,,OS:People:Definition,,OS:Schedule,,OS:DesignSpecification:OutdoorAir,,OS:DesignSpecification:OutdoorAir,,,OS:DesignSpecification:OutdoorAir,,,,,OS:DesignSpecification:OutdoorAir,,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,OS:ElectricEquipment:Definition,,,,OS:ElectricEquipment:Definition,OS:Schedule,,OS:Lights:Definition,OS:Lights:Definition,OS:Lights:Definition,,,,OS:Lights:Definition,OS:Schedule,,,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,OS:GasEquipment:Definition,,,,OS:GasEquipment:Definition,OS:Schedule,,OS:SpaceInfiltration:DesignFlowRate,OS:SpaceInfiltration:DesignFlowRate,,,,,OS:SpaceInfiltration:DesignFlowRate,OS:Schedule,,,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:InternalMass:Definition,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Material,OS:Construction and OS:Material,,,,,OS:InternalMass:Definition
CATEGORY,!- Standards Template,!- Standards Building Type,!- Standards Space Type,OpenStudio_Standards.xlsx,Code Year,State,Code,!- Rendering Red Value,!- Rendering Green Value,!- Rendering Blue Value,!- Name,Schedule Set !- Name,OCCUPANT DENSITY FT2/person,OCCUPANT DENSITY #/1000 FT2,!- People per Space Floor Area {person/m2},Sensible Heat Gain (Btu/h-person),Sensible Heat Gain (W/person),Latent Heat Gain  (Btu/h-person),Latent Heat Gain  (W/person),Summer Design Day Total Heat Gain (W/person),Winter Design Day Total Heat Gain (W/person),Default Day Total Heat Gain (W/person),!- Sensible Heat Fraction,Source_1,Additional Info_1,Source_2,Additional Info_2,!- Name,!- Number of People Schedule Name,Occupancy Activity Schedule !- Name,"PEOPLE OUTDOOR 
SS Sports Arena Playing Area - Class I ,NCC2025_AU,Sports Arena,Playing Area - Class I,Sports arena - court c1,2025,AU,NCC,127,255,212,SS Sports Arena Playing Area - Class I _NCC2025AU,SS Sports Arena Playing Area - Class I _NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Sports Arena Playing Area - Class I PeopleDef,NECB-B-Occupancy,SS Sports Arena Playing Area - Class I Activity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Sports and amusement - Spectator areas,,,IMC Table 403.3.1.1Sports and amusement - Spectator areasVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Sports Arena Playing Area - Class I ElectricalEquipDef,NECB-B-Electric-Equipment,2.860000,30.78478,0.37,0.2,IECC Table C405.3.2(2),,"Sports arena - playing area, Class I facility; radiant/visible fraction split retained from original WA/COMNET-REV9 source",IECC Table C405.3.2(2)SS Sports Arena Playing Area - Class I LightingDef,NECB-B-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Sports Arena Playing Area - Class I Infil,Always On,Space Function,Sports arena - court c1,,0.23,,MediumRough,0.0216,3.077,438,1165,0.9,0.7,0.7,Mixed_SportsArena_PlayingArea_22mm,CalculatedEstimate,PortableGoalsAndBenchesClassI,,Mixed_SportsArena_PlayingArea_22mm,CalculatedEstimatePortableGoalsAndBenchesClassIMixed_SportsArena_PlayingArea_22mmInternalMassDef
SS Sports Arena Playing Area - Class II ,NCC2025_AU,Sports Arena,Playing Area - Class II,Sports arena - court c2,2025,AU,NCC,176,224,230,SS Sports Arena Playing Area - Class II _NCC2025AU,SS Sports Arena Playing Area - Class II _NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Sports Arena Playing Area - Class II PeopleDef,NECB-B-Occupancy,SS Sports Arena Playing Area - Class II Activity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Sports and amusement - Spectator areas,,,IMC Table 403.3.1.1Sports and amusement - Spectator areasVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Sports Arena Playing Area - Class II ElectricalEquipDef,NECB-B-Electric-Equipment,1.980000,21.31254,0.37,0.2,IECC Table C405.3.2(2),,"Sports arena - playing area, Class II facility; radiant/visible fraction split retained from original WA/COMNET-REV9 source",IECC Table C405.3.2(2)SS Sports Arena Playing Area - Class II LightingDef,NECB-B-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Sports Arena Playing Area - Class II Infil,Always On,Space Function,Sports arena - court c2,,0.23,,MediumRough,0.0216,3.077,438,1165,0.9,0.7,0.7,Mixed_SportsArena_PlayingArea_22mm,CalculatedEstimate,PortableGoalsAndBenchesClassII,,Mixed_SportsArena_PlayingArea_22mm,CalculatedEstimatePortableGoalsAndBenchesClassIIMixed_SportsArena_PlayingArea_22mmInternalMassDef
SS Sports Arena Playing Area - Class III ,NCC2025_AU,Sports Arena,Playing Area - Class III,Sports arena - court c3,2025,AU,NCC,70,130,180,SS Sports Arena Playing Area - Class III _NCC2025AU,SS Sports Arena Playing Area - Class III _NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Sports Arena Playing Area - Class III PeopleDef,NECB-B-Occupancy,SS Sports Arena Playing Area - Class III Activity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Sports and amusement - Spectator areas,,,IMC Table 403.3.1.1Sports and amusement - Spectator areasVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Sports Arena Playing Area - Class III ElectricalEquipDef,NECB-B-Electric-Equipment,1.290000,13.88544,0.37,0.2,IECC Table C405.3.2(2),,"Sports arena - playing area, Class III facility; radiant/visible fraction split retained from original WA/COMNET-REV9 source",IECC Table C405.3.2(2)SS Sports Arena Playing Area - Class III LightingDef,NECB-B-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Sports Arena Playing Area - Class III Infil,Always On,Space Function,Sports arena - court c3,,0.23,,MediumRough,0.0216,3.077,438,1165,0.9,0.7,0.7,Mixed_SportsArena_PlayingArea_22mm,CalculatedEstimate,PortableGoalsAndBenchesClassIII,,Mixed_SportsArena_PlayingArea_22mm,CalculatedEstimatePortableGoalsAndBenchesClassIIIMixed_SportsArena_PlayingArea_22mmInternalMassDef
SS Sports Arena Playing Area - Class IV,NCC2025_AU,Sports Arena,Playing Area - Class IV,Sports arena - court c4,2025,AU,NCC,0,191,255,SS Sports Arena Playing Area - Class IV_NCC2025AU,SS Sports Arena Playing Area - Class IV_NCC2025AUScheduleSet,6.666666667,150,1.614587258,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Sports Arena Playing Area - Class IVPeopleDef,NECB-B-Occupancy,SS Sports Arena Playing Area - Class IVActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Sports and amusement - Spectator areas,,,IMC Table 403.3.1.1Sports and amusement - Spectator areasVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Sports Arena Playing Area - Class IVElectricalEquipDef,NECB-B-Electric-Equipment,0.860000,9.25696,0.37,0.2,IECC Table C405.3.2(2),,"Sports arena - playing area, Class IV facility; radiant/visible fraction split retained from original WA/COMNET-REV9 source",IECC Table C405.3.2(2)SS Sports Arena Playing Area - Class IVLightingDef,NECB-B-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Sports Arena Playing Area - Class IVInfil,Always On,Space Function,Sports arena - court c4,,0.23,,MediumRough,0.0216,3.077,438,1165,0.9,0.7,0.7,Mixed_SportsArena_PlayingArea_22mm,CalculatedEstimate,PortableGoalsAndBenchesClassIV,,Mixed_SportsArena_PlayingArea_22mm,CalculatedEstimatePortableGoalsAndBenchesClassIVMixed_SportsArena_PlayingArea_22mmInternalMassDef
SS Transportation - Baggage/Carousel Area  ,NCC2025_AU,Transportation Facility,Baggage/Carousel Area,Transp. baggage,2025,AU,NCC,135,206,250,SS Transportation - Baggage/Carousel Area  _NCC2025AU,SS Transportation - Baggage/Carousel Area  _NCC2025AUScheduleSet,10,100,1.076391505,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Transportation - Baggage/Carousel Area  PeopleDef,NECB-H-Occupancy,SS Transportation - Baggage/Carousel Area  Activity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Transportation - Transportation waiting,,,IMC Table 403.3.1.1Transportation - Transportation waitingVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Transportation - Baggage/Carousel Area  ElectricalEquipDef,NECB-H-Electric-Equipment,0.280000,3.01389,0.37,0.2,IECC Table C405.3.2(2),,Transportation facility - in a baggage/carousel area; radiant/visible fraction split retained from original WA/COMNET-REV9 source,IECC Table C405.3.2(2)SS Transportation - Baggage/Carousel Area  LightingDef,NECB-H-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Transportation - Baggage/Carousel Area  Infil,Always On,Space Function,Transp. baggage,,0.98,,MediumRough,0.0045,37.62,3363,670,0.9,0.7,0.7,Mixed_Transportation_BaggageCarousel_5mm,CalculatedEstimate,CarouselsAndBaggageCarts,,Mixed_Transportation_BaggageCarousel_5mm,CalculatedEstimateCarouselsAndBaggageCartsMixed_Transportation_BaggageCarousel_5mmInternalMassDef
SS Transportation - Concourse,NCC2025_AU,Transportation Facility,Concourse,Transp. concourse,2025,AU,NCC,138,43,226,SS Transportation - Concourse_NCC2025AU,SS Transportation - Concourse_NCC2025AUScheduleSet,10,100,1.076391505,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Transportation - ConcoursePeopleDef,NECB-H-Occupancy,SS Transportation - ConcourseActivity,7.5,0.003539405,0.06,0.0003048,,,,IMC Table 403.3.1.1,Transportation - Transportation waiting,,,IMC Table 403.3.1.1Transportation - Transportation waitingVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Transportation - ConcourseElectricalEquipDef,NECB-H-Electric-Equipment,0.464515,5.00,0.37,0.2,NCC J7D3a,,Corridors (concourse circulation); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aSS Transportation - ConcourseLightingDef,NECB-H-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Transportation - ConcourseInfil,Always On,Space Function,Transp. concourse,,0.37,,MediumRough,0.005,35.72,2081,857,0.9,0.7,0.7,Mixed_Transportation_Concourse_5mm,CalculatedEstimate,GateSeatingKiosksAndWalkway,,Mixed_Transportation_Concourse_5mm,CalculatedEstimateGateSeatingKiosksAndWalkwayMixed_Transportation_Concourse_5mmInternalMassDef
SS Transportation - Ticket Counter,NCC2025_AU,Transportation Facility,Ticket Counter,Transp. counter,2025,AU,NCC,32,178,170,SS Transportation - Ticket Counter_NCC2025AU,SS Transportation - Ticket Counter_NCC2025AUScheduleSet,16.66666667,60,0.645834903,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Transportation - Ticket CounterPeopleDef,NECB-H-Occupancy,SS Transportation - Ticket CounterActivity,5,0.002359604,0.06,0.0003048,,,,IMC Table 403.3.1.1,Theaters - Ticket booths,,,IMC Table 403.3.1.1Theaters - Ticket boothsVent,0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 9b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Transportation - Ticket CounterElectricalEquipDef,NECB-H-Electric-Equipment,0.418064,4.50,0.37,0.2,NCC J7D3a,,Office - artificially lit to >= 200 lux (counter fit); radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aSS Transportation - Ticket CounterLightingDef,NECB-H-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Transportation - Ticket CounterInfil,Always On,Space Function,Transp. counter,,1.07,,MediumRough,0.0105,5.172,1374,952,0.9,0.7,0.7,Mixed_Transportation_TicketCounter_11mm,CalculatedEstimate,GraniteCountersAndQueueStanchions,,Mixed_Transportation_TicketCounter_11mm,CalculatedEstimateGraniteCountersAndQueueStanchionsMixed_Transportation_TicketCounter_11mmInternalMassDef
SS Warehouse - Medium/Bulky Items on Pallets,NCC2025_AU,Warehouse,Medium/Bulky Items on Pallets,Warehouse - med/blk,2025,AU,NCC,220,20,60,SS Warehouse - Medium/Bulky Items on Pallets_NCC2025AU,SS Warehouse - Medium/Bulky Items on Pallets_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Warehouse - Medium/Bulky Items on PalletsPeopleDef,NCC-BizHours-Occupancy,,10,0.004719207,0.06,0.0003048,,,,IMC Table 403.3.1.1,"Retail stores, sales floors, and showroom floors - Warehouses (see Storage)",,,"IMC Table 403.3.1.1Retail stores, sales floors, and showroom floors - Warehouses (see Storage)Vent",0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 7b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Warehouse - Medium/Bulky Items on PalletsElectricalEquipDef,NCC-BizHours-Electric-Equipment,0.371612,4.00,0.37,0.2,NCC J7D3a,,Wholesale storage area with a vertical illuminance target of 160 lx; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aSS Warehouse - Medium/Bulky Items on PalletsLightingDef,NCC-BizHours-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Warehouse - Medium/Bulky Items on PalletsInfil,Always On,Space Function,Warehouse - med/blk,,1.15,,MediumRough,0.0464,2.789,1088,1158,0.9,0.7,0.7,Mixed_Warehouse_PalletItems_46mm,CalculatedEstimate,PalletRackingAndStoredGoods,,Mixed_Warehouse_PalletItems_46mm,CalculatedEstimatePalletRackingAndStoredGoodsMixed_Warehouse_PalletItems_46mmInternalMassDef
SS Warehouse - Smaller Hand Carried Items,NCC2025_AU,Warehouse,Smaller Hand Carried Items,Warehouse - fine,2025,AU,NCC,255,160,122,SS Warehouse - Smaller Hand Carried Items_NCC2025AU,SS Warehouse - Smaller Hand Carried Items_NCC2025AUScheduleSet,,,,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nSS Warehouse - Smaller Hand Carried ItemsPeopleDef,NCC-BizHours-Occupancy,,10,0.004719207,0.06,0.0003048,,,,IMC Table 403.3.1.1,"Retail stores, sales floors, and showroom floors - Warehouses (see Storage)",,,"IMC Table 403.3.1.1Retail stores, sales floors, and showroom floors - Warehouses (see Storage)Vent",0.000000,0.00,0,0.5,0,NCC S35C2l,,Class 7b (Other applications) - no equipment load per S35C2l; radiant/latent/lost fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC S35C2lSS Warehouse - Smaller Hand Carried ItemsElectricalEquipDef,NCC-BizHours-Electric-Equipment,0.371612,4.00,0.37,0.2,NCC J7D3a,,Wholesale storage area with a vertical illuminance target of 160 lx; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aSS Warehouse - Smaller Hand Carried ItemsLightingDef,NCC-BizHours-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)SS Warehouse - Smaller Hand Carried ItemsInfil,Always On,Space Function,Warehouse - fine,,1.92,,MediumRough,0.0101,4.073,1303,1027,0.9,0.7,0.7,Mixed_Warehouse_HandCarryItems_10mm,CalculatedEstimate,BoltlessShelvingAndBinStorage,,Mixed_Warehouse_HandCarryItems_10mm,CalculatedEstimateBoltlessShelvingAndBinStorageMixed_Warehouse_HandCarryItems_10mmInternalMassDef
CS Food Preparation - Electric Cooking,NCC2025_AU,Commercial Kitchen,Food Preparation - Electric Cooking,Food preparation,2025,AU,NCC,255,178,102,CS Food Preparation - Electric Cooking_NCC2025AU,CS Food Preparation - Electric Cooking_NCC2025AUScheduleSet,50,20,0.215278301,255.91,75.00,187.67,55.00,,,130.00,0.576923077,NCC S35C2n,Other applications (non-dining),,,NCC S35C2nCS Food Preparation - Electric CookingPeopleDef,NCC-C6Restaurant-Occupancy,CS Food Preparation - Electric CookingActivity,7.5,0.003539405,0.12,0.0006096,0.7,0.000330363,,IMC Table 403.3.1.1,Food and beverage service_Kitchens (cooking),,,IMC Table 403.3.1.1Food and beverage service_Kitchens (cooking)Vent,10.27800243,110.6324182,0.25,0.3,0.2,COMNET-REV9,California Commercial End-Use Survey (CEUS),DOEPrototype,COMNET-REV9California Commercial End-Use Survey (CEUS)DOEPrototypeCS Food Preparation - Electric CookingElectricalEquipDef,NCC-C6Restaurant-Electric-Equipment,0.371612,4.00,0.37,0.2,NCC J7D3a,,Kitchen and food preparation area; radiant/visible fraction split retained from original WA/COMNET-REV9 source (AIRAH Technical Handbook does not publish this split),NCC J7D3aCS Food Preparation - Electric CookingLightingDef,NCC-C6Restaurant-Lighting,,,,,,,,,,,,,0.7,,NCC S34C2(6),0.7 ACH assumed as design infiltration for periods without mechanical outdoor air supply; NCC also specifies 0.35 ACH when mechanical OA is operating (to be applied via infiltration schedule once developed),,,NCC S34C2(6)CS Food Preparation - Electric CookingInfil,Always On,Space Function,Food preparation,,1.6,,MediumRough,0.0063,16.8,2640,512,0.9,0.7,0.7,Mixed_FoodPrep_ElectricCooking_6mm,CalculatedEstimate,CommercialKitchenEquipmentSameAsGasCooking,,Mixed_FoodPrep_ElectricCooking_6mm,CalculatedEstimateCommercialKitchenEquipmentSameAsGasCookingMixed_FoodPrep_ElectricCooking_6mmInternalMassDef
